segment_id,target_hour,count_two_wheeler,count_car,count_auto,count_light_commercial,count_heavy,count_other,count_total,severity_weighted_count,is_hotspot,sample_weight,lat_center,lon_center,lat_mean,lon_mean,lat_bin,lon_bin,police_station,junction_name,junction_bucket,road_class,road_width_m,event_count,map_matching_mode,representative_location,road_name,osm_highway,geometry_wkt,station_approval_rate,segment_severity_mean,segment_dominant_vehicle_footprint,dist_to_metro_m,dist_to_commercial_m,dist_to_bus_stop_m,dist_to_school_m,dist_to_hospital_m,dist_to_market_m,dist_to_restaurant_m,dist_to_worship_m,poi_count_200m,poi_count_500m,poi_gravity_score,dist_to_legal_parking_m,legal_parking_capacity,overflow_risk_index,segment_total_events,segment_event_rate,segment_rank_pct,hour,day_of_week,month,day_of_year,is_weekend,is_peak,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,day_of_year_norm,is_weekday_peak,is_weekend_peak,hour_bucket,is_holiday,is_festival,is_first_week_of_month,is_month_end,is_school_dropoff,is_school_pickup,is_lunch_market,is_office_commute_am,is_office_commute_pm,is_shopping_evening,is_nightlife_peak,is_late_night_enforcement,segment_hour_mean,segment_dow_hour_mean,city_hour_mean,city_dow_hour_mean,rolling_7d_mean,rolling_28d_mean,road_vulnerability,lag_1h_total,lag_24h_total,lag_168h_total,lag_2h_total,lag_3h_total,lag_1h_two_wheeler,lag_1h_car,lag_1h_auto,lag_1h_light_commercial,lag_1h_heavy,lag_1h_other,rainfall_mm,is_raining,rain_shelter_bottleneck,is_underpass_or_bridge,station_enforcement_volume,station_event_rate,distance_to_active_event_m,event_impact_score,active_event_count
osm_way_1064084733,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.959670653775786,77.64898418956011,12.959684385500351,77.64899425067124,12959,77648,Jeevanbheemanagar,No Junction,No Junction,residential,6.0,27,osm_overpass_nearest_road,"Old Airport Road, Manipal Hospital Junction, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",,service,"LINESTRING (77.6490664 12.9597401, 77.6490325 12.9596902, 77.6489489 12.9596429, 77.6488832 12.95963)",1.0,1.3699999999999999,1.2629629629629633,2350.2559171156804,68.56649503619312,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,49.36264763904149,99.00960481192905,1.6807019947050472,27.0,0.008656620711766592,0.30462184873949577,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.008656620711766592,0.008656620711766592,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_1086212782,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.956903556488104,77.67418312899899,12.958242112962962,77.66853815462963,12958,77668,HAL Old Airport,No Junction,No Junction,primary,12.0,108,osm_overpass_nearest_road,"Old Airport Road, HAL Circle, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",HAL Old Airport Road,primary,"LINESTRING (77.6681586 12.9582104, 77.6686817 12.9581584, 77.6687657 12.9581535, 77.6704821 12.9580537, 77.6716662 12.9579476, 77.6717391 12.9579391, 77.6722191 12.9578916, 77.6724417 12.957858, 77.6730517 12.9577352, 77.6743253 12.9572222, 77.6743949 12.9571889, 77.6753215 12.9567464, 77.6758942 12.9564816, 77.6777333 12.9556024, 77.6777898 12.9555752, 77.6778488 12.9555455, 77.6797301 12.9546555, 77.6797891 12.9546335, 77.6799376 12.9545845)",1.0,0.6612962962962965,0.9814814814814815,4428.884976474029,885.7323859722662,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,332.42321719968504,101.09402265469213,9.667119014152325,57.0,0.01827508816928503,0.6188475390156063,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.01827508816928503,0.01827508816928503,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_1086234123,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.964007826953145,77.5820772625707,12.964039374358975,77.5822756,12963,77582,Halasuru Gate,"BTP080 - NR Road, SP Road Junction",Named Junction,primary,12.0,39,osm_overpass_nearest_road,"Silver Jubilee Park Road, Thigalarpet, Nagartapete, Bengaluru, Karnataka. Pin-560002 (India)",SJP Road,primary,"LINESTRING (77.5817598 12.964038, 77.5821576 12.963999, 77.5822622 12.963991, 77.582395 12.9639808)",1.0,1.0946153846153843,1.441025641025641,876.7890880066683,262.0507342714318,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,296.770027847052,8.0,11.743313733397454,34.0,0.010900929785187561,0.41986794717887155,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.010900929785187561,0.010900929785187561,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_1109946345,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.976794306446118,77.5889537468861,12.97685582222222,77.58908250740741,12976,77589,Cubbon Park,BTP041 - Gopal Gowda Circle,Named Junction,primary,12.0,27,osm_overpass_nearest_road,"Dr Ambedkar Road, Ambedkar Veedhi, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Doctor B R Ambedkar Veedhi,primary,"LINESTRING (77.5886556 12.9766504, 77.5886738 12.9766592, 77.5892519 12.9769382)",1.0,0.7503703703703701,1.0333333333333332,362.51924633424966,94.35979360313623,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,65.98841685021429,30.06937276067579,3.1190927943397284,24.0,0.0076947739660147485,0.23679471788715487,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.03077909586405899,0.0,0.01433963263325549,0.01224901181903006,0.0076947739660147485,0.0076947739660147485,1.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_1146413336,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.998137144137347,77.54075289932882,12.998522745253165,77.54084202943038,12998,77540,Vijayanagara,"BTP206 - Shankara Mutt Circle, Vijayanagar",Named Junction,secondary,9.0,316,osm_overpass_nearest_road,"Dr Siddaiah Puranik Marg, Bhimajyothi LIC Colony, Basaveshwara Nagar, Bengaluru, Karnataka. Pin-560079 (India)",Siddhaiah Puranik Road,secondary,"LINESTRING (77.541132 12.9993701, 77.5411078 12.9992668, 77.5410874 12.9992135, 77.5409267 12.9987953, 77.5406214 12.9976581, 77.540617 12.9976457, 77.5403881 12.9968986)",1.0,0.7763291139240507,0.9873417721518988,1001.9470000342025,42.58680335870697,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,432.43625356450895,19.186366076574142,53.46089707109305,302.0,0.09682590573901892,0.9309723889555822,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.09682590573901892,0.09682590573901892,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_1183593577,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,13.092876549847556,77.59406209800726,13.093011431818182,77.59399596818183,13093,77593,Yelahanka,No Junction,No Junction,residential,6.0,44,osm_overpass_nearest_road,"Allalasandra Main Road, Taralabalu Enclave, Yelahanka, Bengaluru, Karnataka. Pin-560064 (India)",,service,"LINESTRING (77.5941419 13.0927659, 77.5940705 13.0927665, 77.5940349 13.0927754, 77.5940242 13.0927951, 77.5940259 13.0929545, 77.5940378 13.0929678, 77.5940706 13.0929723, 77.5941574 13.0929931)",1.0,0.6461363636363636,0.8477272727272723,1363.2059099961166,24.925936629460132,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,168.80303539995828,8.0,11.157126109280469,44.0,0.014107085604360373,0.5210084033613446,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.014107085604360373,0.014107085604360373,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_1201585648,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.989181071420015,77.59244581682944,12.989174858706896,77.59252187474138,12989,77592,High ground,BTP034 - LRDE Junction,Named Junction,secondary,9.0,116,osm_overpass_nearest_road,"Millers Road, BKM Gowda Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Millers Road,tertiary,"LINESTRING (77.5928227 12.9896577, 77.5927696 12.9895576, 77.5926836 12.9894313, 77.5926544 12.9893984, 77.5921411 12.9888462, 77.5920379 12.988727)",1.0,1.3272413793103452,1.3517241379310345,782.479299524812,23.84239913950409,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,165.33816254864232,11.375187982425436,22.910064355016836,104.0,0.03334402051939724,0.7836134453781513,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.03334402051939724,0.03334402051939724,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_1227969784,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,13.055180573195923,77.5346153769245,13.05512632,77.53463355,13055,77534,Jalahalli,No Junction,No Junction,secondary,9.0,20,osm_overpass_nearest_road,"Abbigere Main Road, Patel Shamanna Layout, Kammagondanahalli, Bengaluru, Karnataka. Pin-560015 (India)",,secondary,"LINESTRING (77.5347053 13.054916, 77.534669 13.0550144, 77.5346528 13.0550618, 77.5345294 13.0554465)",1.0,0.8244999999999999,1.1,2310.773487704699,666.6737074003524,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,474.26542316956875,8.0,7.534344133631388,19.0,0.006091696056428343,0.09483793517406963,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.006091696056428343,0.006091696056428343,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_1281894245,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,13.012601999542373,77.55369060303752,13.0125011,77.55372803066666,13012,77553,Malleshwaram,No Junction,No Junction,primary,12.0,75,osm_overpass_nearest_road,"Da Ra Bendre Road, Orion, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",Chord Road,primary,"LINESTRING (77.5538612 13.0125784, 77.553622 13.012616, 77.553567 13.0126123, 77.5535192 13.0126123)",1.0,1.0373333333333332,1.3333333333333333,229.40256288229736,31.83659868506965,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,146.0847473426067,8.0,17.700028229245866,51.0,0.01635139467778134,0.5840336134453782,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.01635139467778134,0.01635139467778134,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_131609427,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.9349411,77.6085666,12.935487700000001,77.60761525000001,12935,77607,Mico Layout,BTP136 - Hosur-Tavarkere Road Junction,Named Junction,residential,6.0,32,osm_overpass_nearest_road,"Krishna Nagar Main Road, Chikka Lakshmaiah Layout, Adugodi, Bengaluru, Karnataka. Pin-560029 (India)",,residential,"LINESTRING (77.6096868 12.9342943, 77.6074464 12.9355879)",1.0,1.315,0.940625,2032.206381849421,245.13091882427744,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,265.2118892570205,8.0,9.374931632812334,31.0,0.009939083039435716,0.37304921968787513,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.009939083039435716,0.009939083039435716,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_1316592551,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.982336067496394,77.59959420194996,12.98207622,77.59942633000001,12982,77599,Shivajinagar,BTP042 - Minsk Square Junction (CTO),Named Junction,residential,6.0,20,osm_overpass_nearest_road,"Infantry Road, Coffee Board Junction, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",,service,"LINESTRING (77.5993601 12.9820584, 77.59955 12.9825487, 77.5995705 12.982592, 77.5996063 12.9825955, 77.5997441 12.9825466, 77.5997805 12.9825255, 77.5997794 12.9824894, 77.5995934 12.9819872)",1.0,1.1,1.0050000000000001,267.0307214825306,3.9566520639697207,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,129.24863262729713,30.0,2.578770582139678,20.0,0.006412311638345623,0.11974789915966387,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.006412311638345623,0.006412311638345623,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_131683873,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.981783857300867,77.60636832530035,12.982000388345863,77.60642179586466,12981,77606,Shivajinagar,BTP051 - Safina Plaza Junction,Named Junction,residential,6.0,798,osm_overpass_nearest_road,"Hospital Cross Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Hospital Cross Road,living_street,"LINESTRING (77.6062262 12.9813042, 77.6062415 12.9813561, 77.6065046 12.9822435, 77.6065105 12.9822635)",1.0,0.8245238095238095,0.850751879699248,694.1847344356205,43.46540209967198,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,253.81697939582176,8.0,91.0924875883854,783.0,0.25104200064123117,0.9831932773109243,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.01433963263325549,0.01224901181903006,0.25104200064123117,0.25104200064123117,1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
osm_way_133061657,2023-11-10 00:00:00,0,0,0,0,0,0,0,0.0,0,1.0,12.95941111140702,77.64899515460041,12.959422702560419,77.64899583658973,12959,77649,Jeevanbheemanagar,No Junction,No Junction,residential,6.0,31,osm_overpass_nearest_road,"Old Airport Road, Manipal Hospital Junction, Kodihalli, Bengaluru, Karnataka. Pin-560008 (India)",,service,"LINESTRING (77.6488937 12.9592076, 77.6489443 12.959313, 77.6490106 12.9594512, 77.6491054 12.9596099)",1.0,1.2893548387096772,1.2612903225806453,2376.1116274168567,47.52590613605642,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,34.61641232476736,99.00960481192905,1.87603636841579,27.0,0.008656620711766592,0.30462184873949577,0,4,11,314,0,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.8602739726027397,0,0,late_night,0,0,0,0,0,0,0,0,0,0,1,1,0.007694773966014748,0.0,0.01433963263325549,0.01224901181903006,0.008656620711766592,0.008656620711766592,1.2000000000000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
