iter	Passed	Remaining
0	124	43359
1	193	33701
2	255	29501
3	306	26545
4	348	24063
5	393	22575
6	439	21521
7	489	20932
8	556	21076
9	614	20890
10	691	21320
11	792	22334
12	855	22164
13	918	22033
14	972	21720
15	1023	21373
16	1072	21004
17	1119	20644
18	1174	20453
19	1224	20209
20	1277	20015
21	1329	19828
22	1383	19670
23	1429	19421
24	1498	19479
25	1563	19482
26	1638	19602
27	1698	19533
28	1752	19400
29	1836	19586
30	1889	19444
31	1943	19311
32	1987	19094
33	2041	18969
34	2098	18890
35	2152	18778
36	2224	18818
37	2313	18997
38	2384	19015
39	2441	18919
40	2512	18936
41	2570	18850
42	2652	18940
43	2720	18918
44	2776	18821
45	2827	18685
46	2893	18653
47	2945	18532
48	3040	18675
49	3104	18624
50	3174	18612
51	3248	18618
52	3308	18538
53	3362	18433
54	3414	18313
55	3460	18165
56	3505	18020
57	3556	17906
58	3602	17768
59	3649	17639
60	3697	17516
61	3744	17395
62	3787	17255
63	3851	17211
64	3901	17108
65	3941	16962
66	4020	16981
67	4084	16940
68	4144	16880
69	4199	16797
70	4249	16698
71	4306	16627
72	4375	16604
73	4444	16575
74	4528	16605
75	4597	16576
76	4666	16544
77	4764	16615
78	4916	16865
79	4981	16813
80	5030	16707
81	5082	16610
82	5126	16491
83	5176	16392
84	5227	16297
85	5278	16202
86	5326	16102
87	5375	16004
88	5423	15904
89	5478	15826
90	5535	15753
91	5596	15695
92	5655	15628
93	5729	15603
94	5780	15515
95	5906	15626
96	5975	15585
97	6057	15575
98	6126	15531
99	6201	15502
100	6291	15511
101	6367	15480
102	6425	15409
103	6487	15344
104	6545	15273
105	6607	15209
106	6648	15098
107	6693	14999
108	6740	14902
109	6788	14812
110	6844	14736
111	6900	14663
112	6950	14577
113	7057	14609
114	7230	14776
115	7340	14808
116	7477	14890
117	7567	14878
118	7644	14839
119	7717	14792
120	7791	14745
121	7907	14777
122	8012	14787
123	8079	14724
124	8153	14676
125	8210	14596
126	8265	14512
127	8322	14434
128	8394	14381
129	8457	14311
130	8517	14238
131	8614	14227
132	8667	14141
133	8733	14078
134	8786	13993
135	8835	13902
136	8885	13814
137	8931	13720
138	8981	13633
139	9035	13553
140	9093	13478
141	9150	13403
142	9200	13318
143	9252	13236
144	9298	13146
145	9346	13059
146	9397	12978
147	9446	12893
148	9514	12835
149	9609	12812
150	9671	12746
151	9745	12694
152	9831	12659
153	9894	12592
154	9952	12520
155	10005	12442
156	10062	12369
157	10142	12325
158	10206	12260
159	10276	12202
160	10360	12161
161	10418	12091
162	10470	12012
163	10522	11934
164	10584	11867
165	10644	11798
166	10707	11733
167	10766	11664
168	10822	11591
169	10875	11515
170	10925	11436
171	10970	11352
172	11027	11282
173	11083	11210
174	11163	11163
175	11245	11117
176	11325	11069
177	11403	11019
178	11480	10967
179	11540	10899
180	11618	10848
181	11684	10785
182	11757	10729
183	11821	10665
184	11888	10602
185	11962	10547
186	12032	10488
187	12078	10408
188	12139	10341
189	12200	10274
190	12258	10204
191	12310	10130
192	12365	10058
193	12412	9981
194	12463	9906
195	12511	9830
196	12555	9750
197	12606	9677
198	12665	9610
199	12717	9537
200	12775	9470
201	12830	9400
202	12883	9329
203	12938	9260
204	12992	9189
205	13041	9116
206	13092	9044
207	13145	8974
208	13193	8900
209	13248	8832
210	13294	8757
211	13348	8688
212	13399	8618
213	13441	8542
214	13491	8471
215	13546	8403
216	13611	8342
217	13674	8280
218	13734	8215
219	13765	8134
220	13819	8066
221	13864	7994
222	13910	7922
223	13955	7849
224	14008	7782
225	14055	7711
226	14101	7640
227	14154	7574
228	14198	7502
229	14245	7432
230	14289	7361
231	14338	7292
232	14387	7224
233	14431	7154
234	14478	7085
235	14539	7023
236	14617	6969
237	14673	6905
238	14721	6837
239	14764	6767
240	14810	6698
241	14863	6633
242	14929	6573
243	14982	6508
244	15039	6445
245	15092	6380
246	15137	6312
247	15186	6246
248	15232	6178
249	15276	6110
250	15324	6044
251	15367	5976
252	15414	5910
253	15457	5842
254	15505	5776
255	15557	5712
256	15601	5645
257	15644	5578
258	15692	5513
259	15737	5447
260	15779	5380
261	15824	5315
262	15870	5249
263	15913	5184
264	15959	5118
265	16001	5053
266	16051	4989
267	16099	4925
268	16142	4860
269	16196	4799
270	16243	4735
271	16293	4672
272	16341	4609
273	16389	4545
274	16433	4481
275	16486	4420
276	16532	4357
277	16578	4293
278	16626	4231
279	16674	4168
280	16719	4105
281	16768	4043
282	16814	3980
283	16856	3917
284	16905	3855
285	16949	3792
286	16988	3729
287	17038	3667
288	17081	3605
289	17131	3544
290	17175	3482
291	17213	3419
292	17256	3357
293	17296	3294
294	17347	3234
295	17394	3173
296	17442	3112
297	17484	3051
298	17634	3007
299	17685	2947
300	17727	2885
301	17769	2824
302	17815	2763
303	17860	2702
304	17906	2641
305	17951	2581
306	17994	2520
307	18038	2459
308	18089	2400
309	18139	2340
310	18190	2281
311	18240	2221
312	18288	2161
313	18333	2101
314	18383	2042
315	18438	1983
316	18497	1925
317	18592	1870
318	18699	1817
319	18835	1765
320	18910	1708
321	18982	1650
322	19044	1591
323	19101	1532
324	19197	1476
325	19253	1417
326	19310	1358
327	19367	1299
328	19425	1239
329	19482	1180
330	19538	1121
331	19598	1062
332	19657	1003
333	19714	944
334	19769	885
335	19820	825
336	19883	767
337	19951	708
338	20019	649
339	20082	590
340	20139	531
341	20198	472
342	20253	413
343	20308	354
344	20368	295
345	20444	236
346	20508	177
347	20559	118
348	20612	59
349	20665	0
